Payer,Category,Phone,Notes
"Anthem BCBS of CA (LLT, HEA)",Insurance,1-800-442-7247,
Anthem BCBS of CA (CPR),Insurance,1-877-737-7776,
Anthem BCBS of CA (NSA),Insurance,1-800-777-4013,
Anthem BCBS of CA (UAS),Insurance,1-408-288-4400,
Anthem BCBS of CA (TBT),Insurance,1-800-533-0119,
Anthem BCBS of CA (KEK),Insurance,1-855-537-6767,
Anthem BCBS of CA (KNQ),Insurance,1-800-653-3626,
"Anthem BCBS of CA (VXD, VXB, JQP)",Insurance,1-855-854-1438,
Anthem BCBS of CA (SAG),Insurance,1-800-442-7247,
Anthem BCBS of CA (SGE),Insurance,1-714-220-2297,
HUMANA,Insurance,1-800-523-0023,
Coventry Health Care of Missorie,Insurance,1-800-775-3540,
Healthnet of California - Medicare (R Prefix),Insurance,1-800-646-5614,
Bluegrass Family Health (Health Smart - Baptist Health Plan),Insurance,1-877-467-6004,
Affinity Health Plan of NY,Insurance,1-866-247-5678,
